机构名称,名单来源,排除理由,需调研,mwlab命中数,mwlab展会,mwlab最大面积
上海星舵文化传媒有限公司,观众,科技/营销服务商,,0,,
上海星邮信息科技有限公司,参会,科技/营销服务商,,0,,
上海晖畅展览有限公司,观众,,Y,0,,
上海景桥会展服务有限公司,观众,,Y,0,,
上海有灵思品牌管理有限公司,参会,科技/营销服务商,,0,,
上海有色网信息科技股份有限公司,参会,,Y,3,苏州新能源产业博览会 | IEMC电机年会暨产业链博览会 | SMM电机年会,50000
上海有铂乐信息技术有限公司,观众,科技/营销服务商,,0,,
上海有铂科技有限公司,观众,,Y,0,,
上海来卉网络科技有限公司、旅鼠（上海）汽车服务有限公司,观众,科技/营销服务商,,0,,
上海欣瑞国际旅行社有限公司,观众,执行类服务商/非会展主体,,0,,
上海歌华展览服务有限公司,参会,,Y,11,SIPE上海餐饮包装|预制菜加工包装设备展览会 | 上海国际冷冻冷藏食品博览会 | 上海国际内衣展览会 | 上海国际袜业采购交易会 | 上海国际帽子围巾手套展览会 FAE,150000
上海汇展信息科技有限公司,参会+观众+展商,科技/营销服务商,,0,,
上海汉鸿展览展示服务有限公司,观众,,Y,0,,
上海沧识文化传播有限公司,观众,科技/营销服务商,,0,,
上海洲创文化创意有限公司,观众,科技/营销服务商,,0,,
上海浦东丽思卡尔顿酒店,观众,酒店/住宿文旅,,0,,
上海润展会展科技有限公司,观众,,Y,0,,
上海淀沪企业服务集团有限公司,观众,,Y,0,,
上海游哉优哉体育发展有限公司,观众,,Y,0,,
上海源顺进会展服务有限公司,观众,,Y,0,,
上海澄鉴文化传播有限公司,观众,科技/营销服务商,,0,,
上海照坤信息科技有限公司,观众,科技/营销服务商,,0,,
上海熙晗空间设计有限公司,观众,执行类服务商/非会展主体,,0,,
上海玄策展览展示有限公司,观众,,Y,0,,
上海理工大学,参会,院校,,8,北京激光制造与增材制造创新发展大会暨展览会 | 北京激光制造大会 | 信息科学与并行、分布式处理国际学术会议（ISPDS) | 应用力学与工程结构国际学术会议 (AMES) | 管理科学与工程管理国际学术会议（ICMSEM),20000
上海申慕企业形象策划有限公司,观众,科技/营销服务商,,0,,
上海画龙信息科技有限公司,观众,科技/营销服务商,,0,,
上海百域会展有限公司,观众,,Y,0,,
上海睦邻展览有限公司,参会,,Y,0,,
上海祁屹文化传播有限公司,观众,科技/营销服务商,,0,,
上海福为展览服务有限公司,观众,,Y,0,,
上海科技会展有限公司,观众,,Y,3,上海国际传感器技术与应用展览会 SENSOR CHINA | CAR SENSOR 上海国际车用传感器应用技术展览会 | 牛羊产业(西南)展览会,30000
上海笔吉展览,观众,,Y,0,,
上海笔图展览展示工程有限公司,观众,,Y,0,,
上海维可斯通展览,观众,,Y,0,,
上海翼之城信息科技有限公司,参会+展商,科技/营销服务商,,0,,
上海翼美数码科技有限公司,观众,,Y,0,,
上海耀达保险代理有限公司,观众,执行类服务商/非会展主体,,0,,
上海联逾信息技术有限公司,观众,科技/营销服务商,,0,,
上海联麓电子商务有限公司,参会+展商,科技/营销服务商,,0,,
上海致汇行汽车服务有限公司,参会,,Y,0,,
上海艾歌展览服务有限公司,参会,,Y,6,SIPE上海餐饮包装|预制菜加工包装设备展览会 | 上海国际餐饮外卖包装展览会 | 上海国际水产养殖展览会 | 上海国际渔业展-上海渔博会 | 上海国际袜业采购交易会,150000
上海艾盛商务咨询有限公司,观众,科技/营销服务商,,0,,
上海菲林商务会展有限公司,观众,,Y,0,,
上海视迈会展有限公司,观众,,Y,0,,
上海贸促会,观众,,Y,9,长沙国际工程机械展览会 | 榆林国际煤炭博览会-榆林煤博会 | 榆林国际煤炭暨高端能源化工产业博览会 | 湖南国际通用航空产业博览会 | 广饶国际橡胶轮胎及汽配展览会,300000
上海贸发展览服务有限公司,参会,,Y,0,,
上海贸通展览服务有限公司,观众,,Y,0,,
上海跨国采购会展中心,参会,,Y,1,甘肃兰州国际汽车博览会,100000
上海路庆贸易有限公司,观众,科技/营销服务商,,0,,
上海辛巴商务咨询有限公司,观众,科技/营销服务商,,1,FBIF食品饮料创新论坛及FBIF食品创新展,62000
上海迎河展览服务有限公司,参会,,Y,3,上海国际个人护理用品博览会 | PCE⼴州国际个⼈护理⽤品博览会 | 广州国际个人护理用品博览会,50000
上海钧诺广告有限公司,观众,执行类服务商/非会展主体,,0,,
上海锐凡势工程技术有限公司,观众,,Y,0,,
上海锦伴企业管理咨询有限公司,观众,科技/营销服务商,,0,,
上海锦览会展服务有限公司,观众,,Y,0,,
上海雅辉展览有限公司,参会,,Y,6,上海国际礼品、文创产品及家居用品展览会 ( 上海礼品展 ) | 上海国际跨境电商出口博览会暨外贸工厂展 | 上海国际礼品及家居用品展览会 | 上海国际鞋业展览会 SISE | 上海国际旅行用品展,92000
上海饴香文化传播有限公司,观众,科技/营销服务商,,0,,
上海骏畅文化传播有限公司,观众,科技/营销服务商,,0,,
上海龙一广告有限公司,观众,执行类服务商/非会展主体,,0,,
东方鸿锐（成都）会展有限公司,参会+展商,,Y,0,,
东星展览,观众,,Y,0,,
东浩兰生,观众,,Y,8,CIIF中国国际工业博览会 | 上海国际数字印花展览会 | 成都国际工业博览会 | 华南（深圳）工业博览会SCIIF | 中国工博会MWCS数控机床与金属加工展,300000
东浩兰生会展集团,参会,,Y,8,CIIF中国国际工业博览会 | 上海国际数字印花展览会 | 成都国际工业博览会 | 华南（深圳）工业博览会SCIIF | 中国工博会MWCS数控机床与金属加工展,300000
中优博国际展览（山东）有限公司,观众,,Y,2,中国山东国际糖酒食品交易会 | CRFE山东济南国际连锁加盟展览会,40000
中会整合营销管理（江苏）有限公司,参会,,Y,0,,
中原国际会展中心,参会,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
中国机械国际合作股份有限公司,参会,,Y,20,法兰克福上海汽配展 | 上海法兰克福汽配展览会 | 北京国际车展 | 粤港澳大湾区车展-中国新能源汽车科技展 | 广州车展,350000
中国机械工程学会,参会,,Y,14,郑州工业技术与装备博览会 | 郑州国际机器人展览会 | 郑州国际机床展览会 | 郑州国际工业自动化展览会 | 中部（郑州）装备制造业博览会,80000
中国汽车工程学会上海办事处,参会,科技/营销服务商,,10,上海国际汽车内饰与外饰展览会 | 中国上海国际汽车内饰与外饰展览会 | 上海国际汽车底盘及制动系统展览会 | 中国（上海）国际智能汽车科技博览会 | 第二十届上海国际汽车内饰与外饰展览会,70000
中国连锁经营协会,观众,,Y,17,广州国际连锁加盟展览会 EXPO FRANCHISE GUANGZHOU | 中国零售业博览会 | 上海国际连锁加盟展览会 SFE | 郑州国际连锁加盟展览会 | CHINASHOP中国零售业博览会,150000
中展创盈（北京）会展有限公司,观众,,Y,0,,
中山古镇灯都博览有限公司,参会+观众,,Y,0,,
中建科工集团运营管理有限公司,参会,,Y,0,,
中联橡胶股份有限公司,观众,执行类服务商/非会展主体,,3,中国国际橡胶技术展览会 RubberTech China | 中国（上海）国际橡胶技术展览会 | 大湾区国际橡胶技术展览会 RubberTech GBA,50500
中贸慕尼黑展览（上海）有限公司,观众,国际同行(竞争对手),,57,德国慕尼黑环保展览会IFAT | 德国慕尼黑电动车充电设备展 | 德国慕尼黑电池储能展览会EES | 德国慕尼黑智慧能源展览会 | 德国慕尼黑智能电网展,250000
义乌中展,观众,,Y,0,,
义乌市中展展览服务有限公司,参会,,Y,2,框业与装饰画展览会 | 2024年第23届框业与装饰画展览会,50000
义乌市大壑文化传媒有限公司,观众,科技/营销服务商,,0,,
乔亚会展,观众,,Y,0,,
九号机器人有限公司,观众,执行类服务商/非会展主体,,0,,
云会通（上海）文化科技发展有限公司,展商,,Y,0,,
云合智能【厦门国信云展科技有限公司】,参会,,Y,0,,
云展视界数字科技有限公司,观众,科技/营销服务商,,0,,
亚东展览,观众,,Y,1,PLF全球自有品牌产品亚洲展,70000
亚北广告（上海）有限公司,观众,,Y,0,,
亚果会（上海）企业管理有限公司,参会+观众,,Y,0,,
享融智云（上海）信息科技有限公司,参会,科技/营销服务商,,0,,
亿百媒会展 (上海)有限公司,观众,,Y,0,,
仕邦集团,观众,,Y,0,,
会伴（上海）科技有限公司,观众+展商,,Y,0,,
会易云(雄安)科技有限公司,观众,,Y,0,,
会易云（保定）信息科技有限公司,观众,科技/营销服务商,,0,,
会通（上海）会展有限公司,观众,,Y,0,,
传德空间设计（上海）有限公司,观众,执行类服务商/非会展主体,,0,,
假期工作室,观众,执行类服务商/非会展主体,,0,,
兰州新区丝路绿地国际会展中心,观众,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
创习（上海）商务咨询有限公司,观众,科技/营销服务商,,0,,
创客AI,参会,,Y,0,,
创艺达（北京）文化传播有限公司,参会,科技/营销服务商,,0,,
动创实研室,观众,,Y,0,,
励展博览集团,观众,国际同行(竞争对手),,95,意大利暖通卫浴展 | 意大利能源展 | 法国巴黎建筑及建材展览会 | 中国日用百货商品交易会 | 法国戛纳游艇展览会,325000
励销云51展,展商,,Y,0,,
劲翔展览（上海）有限公司,观众,,Y,0,,
北京亦庄国际会展有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
北京京旅恒展国际会展中心,观众,,Y,3,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会 | 中国潍坊国际塑料产业博览会,100000
北京京旅恒展国际会展有限公司,观众,,Y,2,武汉国际环保产业博览会 | 中国潍坊国际塑料产业博览会,40000
北京博诚顺通国际公关顾问有限公司,观众,科技/营销服务商,,0,,
北京国贸国际会展有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
北京墨马市场顾问有限公司,参会,,Y,0,,
北京大雅合国际会展有限公司,观众,,Y,1,武汉国际环保产业博览会,40000
北京宏奕展览服务有限公司,参会,,Y,0,,
北京展创科技有限公司,展商,,Y,0,,
北京展慧保信息科技有限公司,参会,科技/营销服务商,,0,,
北京微巍营养科技有限公司,观众,执行类服务商/非会展主体,,0,,
北京槽点满满科技有限公司,参会,,Y,0,,
北京盛世嘉影文化传媒有限公司,观众,科技/营销服务商,,0,,
北京笔克展览展示有限公司,参会,,Y,0,,
北京绿云杉信息技术有限公司,观众,科技/营销服务商,,0,,
北京雪行文化传播有限公司,参会+观众+展商,科技/营销服务商,,0,,
北京领威智联企业管理策划有限公司,参会,,Y,0,,
北京颢云科技有限公司,观众,,Y,0,,
医会通（上海）科技服务有限公司,观众,,Y,0,,
华墨集团,参会+观众,,Y,0,,
南京励铭会议展览有限公司,参会,,Y,0,,
南京智会行数字科技有限公司,参会+展商,科技/营销服务商,,0,,
南安吉祥广告有限公司,参会,执行类服务商/非会展主体,,0,,
南沙国际会展中心,参会,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
博华展览,观众,国际同行(竞争对手),,2,CPHI& PMEC 制药工业展(深圳) | 摩登上海时尚家居展,100000
博罗那展览（上海）有限公司,观众,国际同行(竞争对手),,3,深圳国际自有品牌展 | 广州国际自有品牌展 | 上海儿童健康展,63000
博鳌亚洲湾国际大酒店,参会,酒店/住宿文旅,,0,,
印度尼西亚中国总商会,参会,,Y,0,,
印晨实业,观众,科技/营销服务商,,0,,
即刻分享信息技术（北京）有限公司,参会,科技/营销服务商,,0,,
厦门会展国际旅行社有限公司,展商,,Y,0,,
厦门会展国际旅行社有限公司上海子公司,参会,,Y,0,,
厦门会展集团股份有限公司,参会+展商,,Y,0,,
厦门创博会展有限公司,参会+展商,,Y,0,,
厦门古合会展科技有限公司,参会+展商,,Y,0,,
厦门市会议展览业协会,参会+展商,,Y,0,,
厦门市会议展览促进中心,参会+展商,,Y,0,,
厦门市会议展览局,展商,,Y,1,马来西亚吉隆坡珠宝展览会,13000
厦门市商务局（厦门市会议展览局）,参会,,Y,14,中国北京国际游乐设施设备博览会暨北京国际旅游休闲娱乐产业博览会 | 2024中国（北京）国际游乐设施设备博览会暨2024北京国际旅游休闲娱乐产业博览会 | 北京国际火锅食材用品展览会 | 杭州食品电商选品博览会-私域团长大会 | 宁波出口跨境电商展览会,440000
厦门建发国际旅行社集团有限公司,参会+展商,执行类服务商/非会展主体,,0,,
厦门悦华酒店,参会+展商,酒店/住宿文旅,,0,,
厦门租达人,观众,执行类服务商/非会展主体,,0,,
厦门租达人设备租赁有限公司,参会+展商,执行类服务商/非会展主体,,0,,
去看展（上海）会展服务有限公司,观众,,Y,0,,
双泽国际会展,观众,,Y,1,武汉国际环保产业博览会,40000
合肥政文国际会展管理有限公司,参会,,Y,1,武汉国际环保产业博览会,40000
同济大学,观众,院校,,2,中国国际桥梁与隧道技术大会 | 数字化社会与人工智能国际学术会议（DSAI),10000
同路国际展览（惠州）有限公司,展商,,Y,2,中国山东国际糖酒食品交易会 | CRFE山东济南国际连锁加盟展览会,40000
咔拍摄影,参会,执行类服务商/非会展主体,,0,,
哈尔滨光也创意策划有限公司,观众,科技/营销服务商,,0,,
哈尔滨启程会议服务有限公司,参会,,Y,0,,
喜贴客智能科技（上海）有限公司,参会+展商,科技/营销服务商,,0,,
四川博港数智科技有限公司,观众,科技/营销服务商,,0,,
四川博览投资有限公司,观众,,Y,0,,
四川天展展览有限公司,参会,,Y,0,,
四川天通展览展示有限公司,观众,,Y,0,,
固始会展行业协会,展商,,Y,0,,
国翊创新科技（北京）有限公司,参会+观众,,Y,0,,
复旦大学,观众,院校,,0,,
复易会展策划（上海）有限公司,参会,,Y,0,,
大中華酒店集团,观众,酒店/住宿文旅,,0,,
天津国民会展有限公司,观众,,Y,0,,
天津海棠智会,观众,,Y,0,,
天马假期国际旅行社有限公司（北京）上海分公司,观众,执行类服务商/非会展主体,,0,,
太平人寿保险有限公司,观众,执行类服务商/非会展主体,,0,,
奥克坦姆系统科技(苏州)有限公司,观众,,Y,0,,
奥广文化传播机构,参会,科技/营销服务商,,0,,
如期响·科学营销,参会,,Y,0,,
季辰活动公司,展商,,Y,0,,
宁波东钱湖康得思酒店,观众,酒店/住宿文旅,,0,,
宁波明诚致道国际展览有限公司,参会,,Y,2,中国山东国际糖酒食品交易会 | CRFE山东济南国际连锁加盟展览会,40000
宁波钱湖酒店有限公司,观众,酒店/住宿文旅,,0,,
安徽橙策美致文化传播有限公司,观众,,Y,0,,
安睿杰翻译（上海）有限公司,观众,执行类服务商/非会展主体,,0,,
宏博服务,观众,,Y,0,,
宝山钢铁股份有限公司,观众,执行类服务商/非会展主体,,0,,
宠医声,观众,,Y,0,,
富懋展览（上海）有限公司,参会,,Y,0,,
小模小站（北京）科技有限公司,观众,,Y,0,,
展大人会展平台,参会+展商,,Y,0,,
展讯网会展平台,展商,,Y,0,,
山东福瑞德国际会展集团有限公司,参会,,Y,6,中国(临沂)全屋定制暨供应链展览会 | 福瑞德·武汉定制家居展览会 | 中国（菏泽）木业产业及供应链博览会 | 武汉国际环保产业博览会 | 首届福瑞德·中国（南宁）全屋定制暨供应链产业博览会,100000
山东美程国际会议展览有限公司,参会,,Y,0,,
山东臻和国际会展有限公司,参会+观众,,Y,1,武汉国际环保产业博览会,40000
山东鹊华国际会展中心,参会,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
常州美丽电商博览会,观众,,Y,0,,
广东信源物流设备有限公司,展商,,Y,0,,
广东千禧文化科技有限公司,观众,,Y,0,,
广东双威文化科技集团有限公司,参会+观众,,Y,0,,
广东红橙,观众,,Y,0,,
广东红餐科技有限公司,参会,,Y,0,,
广州华旻信息科技有限公司,参会+展商,科技/营销服务商,,0,,
广州承志会展服务有限公司,参会,,Y,0,,
广州捷路信息科技有限公司,观众,科技/营销服务商,,0,,
广州旗天展览策划有限公司,展商,,Y,0,,
广州智海王潮文化传播有限公司,参会,,Y,0,,
广州柒音谱展示有限公司,参会,,Y,0,,
广州炎麟网络科技有限公司,观众,科技/营销服务商,,0,,
广州空港博览中心,参会+展商,,Y,0,,
广州立雅展示科技有限公司,展商,,Y,0,,
广州青争文化传播,观众,科技/营销服务商,,0,,
廊坊国际会议展览中心,观众,,Y,3,中国国际摩托车博览会 | 重庆国际汽车展览会 | 2024（第二十六届）重庆国际汽车展览会,160000
廊坊国际展览集团有限公司,参会,,Y,2,中国山东国际糖酒食品交易会 | CRFE山东济南国际连锁加盟展览会,40000
开元旅业集团,观众,酒店/住宿文旅,,0,,
强国智造,观众,,Y,0,,
徐州华拓展览服务有限公司,参会,,Y,0,,
微巍营养,观众,执行类服务商/非会展主体,,0,,
德清国控集团—德清国际会议中心,观众,,Y,0,,
德清国际会议中心,观众,,Y,0,,
德纳元会展有限公司,参会,,Y,0,,
恒瑞医药,观众,执行类服务商/非会展主体,,0,,
惠乐（厦门）商务会展有限公司,参会+展商,,Y,0,,
慕尼黑展览,观众,国际同行(竞争对手),,57,德国慕尼黑环保展览会IFAT | 德国慕尼黑电动车充电设备展 | 德国慕尼黑电池储能展览会EES | 德国慕尼黑智慧能源展览会 | 德国慕尼黑智能电网展,250000
成都世纪城新国际会展中心,参会,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
成都世纪康博会展有限公司,观众,,Y,2,中国·成都国际养老服务业博览会暨夕阳嘉年华（成都老博会） | 成都医疗健康博览会/成都医院信息化建设展览会,60000
成都外国语学院,观众,院校,,0,,
成都途加会议展览有限公司,参会,,Y,0,,
成都青年宏图信息技术有限公司,参会+展商,,Y,0,,
承一,观众,,Y,0,,
投行前哨站,观众,,Y,0,,
拉码国际会展（拉丁美洲）,展商,,Y,1,武汉国际环保产业博览会,40000
择言（北京）信息技术有限公司,观众,科技/营销服务商,,0,,
振石大酒店有限公司,观众,酒店/住宿文旅,,0,,
支付宝“碰一下”,参会,执行类服务商/非会展主体,,0,,
改联（苏州）展览有限公司,观众,,Y,0,,
新疆卓越广告有限公司,参会,执行类服务商/非会展主体,,0,,
新疆国际会展中心,参会,,Y,19,甘肃兰州国际汽车博览会 | 广州亚洲再制造展览会 | 武汉国际环保产业博览会 | 韩国首尔食品展 | 韩国首尔食品加工包装机械展,100000
无锡国际会议中心,观众,,Y,0,,
无锡太湖国际博览中心,参会+展商,,Y,2,南京世界智能制造博览会 | 南宁国际学生用品交易会暨中国·东盟(南宁)国际教育展览会,55000
无锡市贸促会,参会+展商,,Y,9,长沙国际工程机械展览会 | 榆林国际煤炭博览会-榆林煤博会 | 榆林国际煤炭暨高端能源化工产业博览会 | 湖南国际通用航空产业博览会 | 广饶国际橡胶轮胎及汽配展览会,300000
无锡拈花湾文化投资发展有限公司,观众,酒店/住宿文旅,,0,,
无锡拈花湾文化旅游发展有限公司,观众,酒店/住宿文旅,,0,,
无锡澄亿满满文化创意有限公司,观众,科技/营销服务商,,0,,
时间博物馆,观众,,Y,3,金字塔之巅：古埃及文明大展 | 千年万念——陈世英半世纪珠宝艺术展 | 消失的法老：胡夫金字塔沉浸式探索体验展,3000
昆山周市镇烨伟贸易商行,观众,科技/营销服务商,,0,,
昊商易通电子商务（北京）有限公司,展商,,Y,0,,
易构德国工厂,展商,执行类服务商/非会展主体,,0,,
星直采,观众,,Y,0,,
晋江国际会展中心,参会,,Y,2,甘肃兰州国际汽车博览会 | 武汉国际环保产业博览会,100000
晋江市晋发旅游会展有限公司,参会,,Y,0,,
景为会展,参会,,Y,0,,
智享会,观众,,Y,0,,
智会行（上海）会展科技有限公司,观众,,Y,0,,
智奥会展（上海）有限公司,观众,,Y,6,北京国际家具暨舒适生活博览会 | 哈尔滨种业博览会 | 哈尔滨农资博览会-哈尔滨农机展 | 四川成都种业、化肥、农业机械、农药展览会 | 成都种业博览会暨西部农资博览会/西部现代农业设施设备展,80000
智海王潮三亚公司,参会,,Y,0,,
智海王潮传播集团,参会+展商,,Y,0,,
杉树园,观众,,Y,0,,
材青社（上海）科技服务有限公司,观众,,Y,0,,
杜塞尔多夫展览（上海）有限公司,参会,国际同行(竞争对手),,70,德国杜塞尔多夫阀门世界展览会 | 德国杜塞尔多夫包装展览会Interpack | 德国杜塞尔多夫房车露营展览会 | 上海国际葡萄酒、红酒、烈酒贸易展览会 | 德国医疗器械展,264000
杭州华锐会务有限公司,观众,,Y,0,,
